MONTH,TIME EVENT BEGAN,TIME OF RESTORATION,AREA AFFECTED,NERC REGION,ALERT CRITERIA,EVENT TYPE,DEMAND LOSS (MW),NUMBER OF CUSTOMERS AFFECTED,STATE
September,9/18/2003 16:20,9/18/2003 18:00,"District of Columbia, Montgomery and Prince George's Counties, Maryland",RF,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,842,530000,"District of Columbia,Maryland"
September,9/18/2003 17:00,9/18/2003 21:00,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",RF,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1300,425000,Pennsylvania
October,10/26/2003 1:44,10/26/2003 10:54,"San Diego County, California",WECC ,Unknown,Fire/Wildfire,380,108000,California
November,11/5/2003 3:54,11/5/2003 15:16,Maryland/Virginia border,"RF,SERC",Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,350,1,"Maryland,Virginia"
November,11/12/2003 17:00,11/12/2003 18:00,Lower Michigan Peninsula,RF,Unknown,Severe Weather - Wind,90,245000,Michigan
November,11/12/2003 17:00,11/12/2003 19:00,Northern Illinois,"RF,SERC",Unknown,Severe Weather - Wind,371.1,51000,Illinois
November,11/13/2003 6:00,11/13/2003 16:00,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",RF,Unknown,Severe Weather - Wind,375,110000,Maryland
November,11/13/2003 6:30,11/13/2003 7:30,New York,NPCC,Unknown,Severe Weather - Unspecified/Other,180,50280,"New,York"
November,11/13/2003 7:30,11/13/2003 11:00,"Washington, D.C., Montgomery County, Prince Georges County, Md",RF,Unknown,Severe Weather - Wind,400,104195,"District of Columbia,Maryland"
November,11/13/2003 13:40,11/13/2003 15:51,"Northern Virginia, Richmond area, Eastern Virginia",SERC,Unknown,Severe Weather - Wind,300,67000,"Virginia,Virginia"
December,12/1/2003 18:16,12/1/2003 20:11,Cape Cod and part of SE Massachusetts,NPCC,Unknown,Fire/Wildfire,630,300000,Massachusetts
December,12/4/2003 7:00,12/4/2003 7:00,Eastern portions of King County and Pierce County,WECC,Unknown,Severe Weather - Wind,175,200000,California
December,12/4/2003 8:30,12/4/2003 22:34,Upper Peninsula of Michigan and Northeastern Wisconsin,"MRO,RF",Unknown,Equipment Failure,650,36000,"Michigan,Wisconsin"
December,12/5/2003 4:49,12/5/2003 6:25,State of Florida - Dade County,SERC,Unknown,Equipment Failure,27,16500,Florida
December,12/5/2003 7:00,12/5/2003 20:00,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,"MRO,RF",Unknown,Equipment Failure,14,2,"Wisconsin,Michigan"
December,12/20/2003 15:51,12/20/2003 23:45,"San Francisco, California",WECC,Unknown,Equipment Failure,150,120000,California
December,12/22/2003 11:15,12/22/2003 11:16,Central California Coast,WECC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,220,109750,California
December,12/28/2003 11:30,12/28/2003 21:00,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,160,241000,California
January,1/1/2004 7:30,1/1/2004 16:00,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,170,263000,California
January,1/7/2004 0:00,1/7/2004 17:00,King County,WECC,Unknown,Severe Weather - Winter/Snow/Ice,150,145000,California
January,1/8/2004 15:00,1/8/2004 19:00,"Lake Placid/Saranac, New York",NPCC,Unknown,Unknown/Unspecified,100,18600,New York
January,1/14/2004 6:00,1/14/2004 12:00,"Lake Placid/Saranac, New York",NPCC,Unknown,Unknown/Unspecified,100,18600,New York
January,1/26/2004 6:30,1/26/2004 16:00,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Unknown,Severe Weather - Winter/Snow/Ice,700,150000,North Carolina
January,1/26/2004 8:00,1/26/2004 10:00,Central South Carolina,SERC ,Unknown,Severe Weather - Winter/Snow/Ice,150,30689,South Carolina
January,1/26/2004 14:00,1/26/2004 20:00,North and Central area of Georgia,SERC,Unknown,Severe Weather - Winter/Snow/Ice,475,9905,Georgia
January,1/28/2004 5:00,1/28/2004 13:09,"Harford County, Maryland",RF,Unknown,Severe Weather - Winter/Snow/Ice,300,70000,Maryland
February,2/5/2004 20:00,2/5/2004 20:00,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania","RF,SERC",Unknown,Severe Weather - Winter/Snow/Ice,60,87456,"Maryland,Virginia,West Virginia,Pennsylvania,Pennsylvania"
February,2/14/2004 12:00,2/14/2004 20:00,"Lake Colby, Lake Placid, Tupper Lake",NPCC,Unknown,Unknown/Unspecified,30,18600,New York
February,2/17/2004 14:25,2/17/2004 23:57,"San Francisco Bay area, California",WECC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,220,122155,California
February,2/25/2004 0:01,2/25/2004 10:00,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,240,505000,California
February,2/26/2004 0:00,2/26/2004 1:30,Georgia,SERC,Unknown,Severe Weather - Unspecified/Other,10,47165,Georgia
March,3/4/2004 5:00,3/4/2004 14:45,North Texas,"TRE,SPP",Unknown,Severe Weather - Wind,300,63000,Texas
March,3/7/2004 8:00,3/7/2004 18:30,North and South Carolina,SERC,Unknown,Severe Weather - Unspecified/Other,1000,206000,"North Carolina,South Carolina"
March,3/8/2004 18:22,3/8/2004 18:55,Southern California not including LA,WECC,Unknown,Generation Inadequacy Load/Fuel/Supply,300,70000,Idaho
March,3/17/2004 13:27,3/17/2004 14:06,"El Paso, Texas",TRE,Unknown,Equipment Failure,300,100000,Texas
April,4/10/2004 16:00,4/10/2004 20:00,"Houston, Texas and surrounding suburban areas",TRE,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,100,6,Texas
April,4/12/2004 5:30,4/12/2004 10:15,FPL's service territory mostly in Naples and Ft. Myers Florida,SERC,Unknown,Severe Weather - Unspecified/Other,250,179000,Florida
April,4/27/2004 12:00,4/27/2004 12:35,Snohomish County Washington,WECC,Unknown,Severe Weather - Wind,300,187000,Washington
May,5/3/2004 14:30,5/3/2004 19:00,Central and Southern California,WECC,Unknown,Severe Weather - Heat Wave,662,940,California
May,5/11/2004 15:30,5/11/2004 18:00,"Houston, Texas and surrounding suburban areas",TRE,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,85,62500,Texas
May,5/21/2004 2:00,5/22/2004 0:00,"Akron, Youngstown, Cleveland Ohio",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,602,408000,Ohio
May,5/21/2004 5:30,5/23/2004 0:00,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia","RF,SERC",Unknown,Severe Weather - Rain/Wind/Flooding,60,94366,"Pennsylvania,Virginia,Maryland,West Virginia"
May,5/21/2004 11:00,5/21/2004 21:00,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart Indiana, New Buffalo, South Bend, St. Joseph, Three Rivers areas",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,303,122600,"Michigan,Indiana"
May,5/21/2004 12:00,5/21/2004 13:00,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,200,248209,Michigan
May,5/21/2004 16:00,5/21/2004 20:00,Southeast Michigan,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,630,250000,Michigan
May,5/28/2004 12:00,5/29/2004 0:00,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",SERC,Unknown,Unknown/Unspecified,0,0,Florida
June,6/1/2004 1:00,6/1/2004 17:00,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",TRE,Unknown,Severe Weather - Wind,1900,500000,Texas
June,6/2/2004 1:46,6/2/2004 16:00,"Shreveport, Louisiana",SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,350,59057,Louisiana
June,6/2/2004 2:35,6/2/2004 18:00,"Tulsa, Oklahoma",MRO,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,280,56874,Oklahoma
June,6/12/2004 17:37,6/12/2004 17:41,"Lincoln, Nebraska",MRO,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,428,120212,Nebraska
June,6/14/2004 7:41,6/14/2004 14:39,"Phoenix, Arizona",WECC ,Unknown,Equipment Failure,200,30000,Arizona
June,6/23/2004 17:35,6/23/2004 19:10,Southern Idaho,WECC,Unknown,Unknown/Unspecified,157,35000,Idaho
June,6/23/2004 19:00,6/23/2004 20:00,Georgia and Alabama,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,50,50595,"Georgia,Alabama"
July,7/6/2004 6:00,7/6/2004 12:00,"Metro Phoenix, Arizona",WECC,Unknown,Fire/Wildfire,399,79232,Arizona
July,7/7/2004 13:30,7/7/2004 23:54,Central Virginia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,120,88110,Virginia
July,7/13/2004 8:00,7/13/2004 16:30,"West, West Central and Southern Indiana",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,283,42124,Indiana
July,7/13/2004 13:34,7/13/2004 17:15,"Leon  County, Florida",SERC,Unknown,Equipment Failure,600,135000,Florida
July,7/20/2004 2:00,7/20/2004 14:26,"Soledad Canyon near Acton, California",WECC,Unknown,Fire/Wildfire,214,105979,California
July,7/20/2004 15:44,7/20/2004 17:51,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,Unknown,Fire/Wildfire,200,61624,Puerto Rico
July,7/21/2004 17:30,7/21/2004 19:00,"Chicago, Illinois",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,200,200000,Illinois
July,7/24/2004 15:45,7/24/2004 21:00,Southwest Louisiana in the Acadia Parish vicinity,SERC,Unknown,Unknown/Unspecified,422,114957,Louisiana
July,7/25/2004 22:00,7/25/2004 23:00,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,Unknown,Severe Weather - Unspecified/Other,61,61004,"Georgia,Alabama,Florida,Mississippi"
August,8/2/2004 10:00,8/2/2004 20:00,Southeast Texas,TRE,Unknown,Generation Inadequacy Load/Fuel/Supply,1087,156032,Texas
August,8/3/2004 7:00,8/3/2004 21:00,Northern Illinois,RF,Unknown,Severe Weather - Unspecified/Other,127,127000,Illinois
August,8/4/2004 12:46,8/4/2004 13:50,"Northwest Orange County, California",WECC,Unknown,Equipment Failure,480,182000,California
August,8/9/2004 8:23,8/9/2004 11:10,Whole Island of Puerto Rico,PR,Unknown,Equipment Failure,451.7,259478,Puerto Rico
August,8/13/2004 8:00,8/14/2004 0:00,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1300,502000,Florida
August,8/13/2004 13:30,8/14/2004 0:00,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,700,200000,Florida
August,8/13/2004 15:00,8/13/2004 23:00,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1400,1200000,Florida
August,8/13/2004 16:23,8/13/2004 22:04,"New Smyrna Beach, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,250,78000,Florida
August,8/13/2004 16:43,8/13/2004 20:24,"Eastern Hillsborough, Polk County, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,65,23000,Florida
August,8/14/2004 13:00,8/14/2004 23:00,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,500,94000,"North Carolina,South Carolina"
August,8/20/2004 15:31,8/20/2004 21:45,"Boston, Massachusetts",NPCC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,22700,380000,"Boston,Massachusetts"
August,8/29/2004 9:52,8/29/2004 18:00,Southeastern South Carolina,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,450,125000,South Carolina
August,8/30/2004 15:35,8/30/2004 18:58,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,150,99816,"Virginia,Virginia"
September,9/3/2004 14:00,9/3/2004 21:00,"City of Fort Pierce, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,125,26000,Florida
September,9/4/2004 8:00,9/4/2004 8:00,"West Palm Beach to Daytona Beach, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,6000,2775093,Florida
September,9/4/2004 10:00,9/4/2004 19:00,"Hillsborough, Pasco, and Polk County, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1100,268000,Florida
September,9/5/2004 1:00,9/5/2004 17:00,"Orlando, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,200,65000,Florida
September,9/5/2004 7:00,9/6/2004 0:00,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,2100,832898,Florida
September,9/6/2004 12:00,9/6/2004 13:00,"Florida, Mississippi, Alabama, Georgia",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,3000,99000,"Florida,Mississippi,Alabama,Georgia"
September,9/7/2004 10:00,9/7/2004 12:00,Georgia,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,2200,150000,Georgia
September,9/15/2004 12:00,9/15/2004 12:04,Whole Island of Puerto Rico,PR,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1243,1423590,Puerto Rico
September,9/15/2004 19:00,9/15/2004 19:00,"Florida, Mississippi, Alabama, Georgia",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,916,916316,"Florida,Mississippi,Alabama,Georgia"
September,9/16/2004 2:00,9/16/2004 10:02,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,263,75000,"Alabama,Florida,Washington,Alabama"
September,9/16/2004 16:00,9/16/2004 21:00,Western  North and South Carolina,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,500,175000,"North Carolina,South Carolina"
September,9/17/2004 4:30,9/17/2004 12:00,Western North Carolina,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,400,112000,North Carolina
September,9/25/2004 9:00,9/25/2004 17:00,"City of Fort Pierce, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,125,26000,Florida
September,9/26/2004 2:00,9/27/2004 0:00,"Hillsborough, Pasco, and Polk County, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1250,285300,Florida
September,9/26/2004 3:00,9/26/2004 9:00,"Orlando and St. Cloud, Florida",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,350,110000,Florida
September,9/26/2004 6:00,9/27/2004 0:00,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,1800,722000,Florida
September,9/27/2004 8:00,9/27/2004 14:00,Georgia,SERC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,854,85455,Georgia
September,9/27/2004 16:06,9/27/2004 16:12,Nova Scotia,NPCC,Unknown,Equipment Failure,720,224969,"Nova Scotia,Canada"
October,10/10/2004 17:09,10/10/2004 19:57,Island Wide,PR,Unknown,Equipment Failure,541,115966,Puerto Rico
October,10/18/2004 9:00,10/18/2004 22:30,Northern California,WECC,Unknown,Severe Weather - Wind,140,407440,California
October,10/25/2004 10:00,10/25/2004 11:00,Southeastern Louisiana in the New Orleans area,SERC,Unknown,Fire/Wildfire,293,104401,Louisiana
October,10/28/2004 15:27,10/28/2004 18:08,"San  Jose, California",WECC,Unknown,Unknown/Unspecified,103,59458,California
October,10/30/2004 10:00,10/30/2004 18:00,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",RF,Unknown,Severe Weather - Wind,60,122000,Michigan
October,10/30/2004 12:30,10/30/2004 13:50,Southeastern Michigan,RF,Unknown,Severe Weather - Wind,700,159870,Michigan
November,11/9/2004 13:07,11/9/2004 14:15,"Sayreville, New Jersey Long Island, New York",NPCC,Unknown,Generation Inadequacy Load/Fuel/Supply,0,0,"New Jersey,New York"
November,11/14/2004 1:31,11/14/2004 4:55,Nova Scotia ,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,165,165000,"Nova Scotia,Canada"
November,11/23/2004 1:00,11/23/2004 22:00,"Houston, Texas and surrounding suburban areas",TRE,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,150,119000,Texas
November,11/24/2004 10:00,11/24/2004 16:00,Georgia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,100,83450,Georgia
December,12/1/2004 7:30,12/1/2004 22:09,"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",RF,Unknown,Severe Weather - Rain/Wind/Flooding,598,105312,"Delaware,Pennsylvania"
December,12/1/2004 10:00,12/1/2004 23:59,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",RF,Unknown,Severe Weather - Wind,270,122000,Maryland
December,12/23/2004 3:37,12/23/2004 23:00,Columbus District OHIO,RF,Unknown,Severe Weather - Winter/Snow/Ice,800,359171,Ohio
December,12/27/2004 7:50,12/27/2004 10:50,"Salinas, California and surrounding communities",WECC,Unknown,Severe Weather - Unspecified/Other,100,95000,California
January,1/4/2005 12:00,1/4/2005 18:00,Eastern one third of the state of Kansas,MRO,Unknown,Severe Weather - Winter/Snow/Ice,200,211000,Kansas
January,1/5/2005 11:00,1/5/2005 21:10,Indiana Michigan Region - Muncie District,RF,Unknown,Severe Weather - Winter/Snow/Ice,250,246990,"Indiana,Michigan"
January,1/5/2005 16:00,1/5/2005 18:00,Akron and Mansfield ohio,RF,Unknown,Severe Weather - Winter/Snow/Ice,545,114791,Ohio
January,1/7/2005 8:00,1/7/2005 13:00,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,120,442000,California
January,1/19/2005 9:17,1/19/2005 9:27,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,209,76461,Puerto Rico
January,1/23/2005 10:42,1/23/2005 11:24,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,140,86344,Puerto Rico
January,1/24/2005 6:38,1/24/2005 6:50,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,225,70717,Puerto Rico
January,1/24/2005 12:27,1/24/2005 12:34,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,385,87655,Puerto Rico
January,1/29/2005 10:00,1/29/2005 10:00,Parts of Alabama and Georgia,SERC,Unknown,Severe Weather - Winter/Snow/Ice,100,150000,"Alabama,Georgia"
January,1/29/2005 15:00,1/29/2005 16:00,Georgia,SERC,Unknown,Severe Weather - Winter/Snow/Ice,100,82000,Georgia
February,2/1/2005 17:00,2/1/2005 18:01,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,460,82466,Puerto Rico
February,2/15/2005 13:12,2/15/2005 13:30,Island of Puerto Rico,PR,Unknown,Equipment Failure,380,77810,Puerto Rico
February,2/16/2005 13:26,2/16/2005 13:43,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,325,139438,Puerto Rico
February,2/18/2005 8:16,2/18/2005 8:41,Island of Puerto Rico,PR,Unknown,Equipment Failure,648,372288,Puerto Rico
February,2/24/2005 0:58,2/24/2005 1:05,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,200,55684,Puerto Rico
March,3/8/2005 11:00,3/8/2005 15:00,Eastern and Central North Carolina,SERC,Unknown,Severe Weather - Wind,180,51600,North Carolina
April,4/1/2005 0:00,4/1/2005 12:00,"Cleveland, Ohio and northeast Ohio ",RF,Unknown,Severe Weather - Winter/Snow/Ice,461,211000,Ohio
